train 5232
val 729
test 1486
test_data:  1486
Iter: 315, mse: 0.1248, rmse: 0.3532, mae: 0.3316
Iter: 316, mse: 0.1254, rmse: 0.3541, mae: 0.3359
Iter: 317, mse: 0.1236, rmse: 0.3516, mae: 0.3304
Iter: 318, mse: 0.1289, rmse: 0.3590, mae: 0.3397
Iter: 319, mse: 0.1286, rmse: 0.3587, mae: 0.3445
Iter: 320, mse: 0.1259, rmse: 0.3548, mae: 0.3415
Iter: 321, mse: 0.1263, rmse: 0.3554, mae: 0.3424
Iter: 322, mse: 0.1145, rmse: 0.3383, mae: 0.3205
Iter: 323, mse: 0.1196, rmse: 0.3459, mae: 0.3307
Iter: 324, mse: 0.1027, rmse: 0.3204, mae: 0.2917
Iter: 325, mse: 0.0976, rmse: 0.3124, mae: 0.2758
Iter: 326, mse: 0.0888, rmse: 0.2980, mae: 0.2624
Iter: 327, mse: 0.0752, rmse: 0.2743, mae: 0.2337
Iter: 328, mse: 0.0629, rmse: 0.2509, mae: 0.2113
Iter: 329, mse: 0.0874, rmse: 0.2956, mae: 0.2697
Iter: 330, mse: 0.0825, rmse: 0.2872, mae: 0.2625
Iter: 331, mse: 0.0732, rmse: 0.2705, mae: 0.2395
Iter: 332, mse: 0.0703, rmse: 0.2651, mae: 0.2361
Iter: 333, mse: 0.0647, rmse: 0.2543, mae: 0.2248
Iter: 334, mse: 0.0573, rmse: 0.2394, mae: 0.2076
Iter: 335, mse: 0.0428, rmse: 0.2069, mae: 0.1733
Iter: 336, mse: 0.0580, rmse: 0.2409, mae: 0.2168
Iter: 337, mse: 0.0438, rmse: 0.2093, mae: 0.1857
Iter: 338, mse: 0.0342, rmse: 0.1848, mae: 0.1588
Iter: 339, mse: 0.0322, rmse: 0.1794, mae: 0.1494
Iter: 340, mse: 0.0270, rmse: 0.1644, mae: 0.1353
Iter: 341, mse: 0.0205, rmse: 0.1432, mae: 0.1134
Iter: 342, mse: 0.0178, rmse: 0.1335, mae: 0.1059
Iter: 343, mse: 0.0192, rmse: 0.1386, mae: 0.1101
Iter: 344, mse: 0.0165, rmse: 0.1283, mae: 0.0965
Iter: 345, mse: 0.0163, rmse: 0.1278, mae: 0.0991
Iter: 346, mse: 0.0142, rmse: 0.1193, mae: 0.0928
Iter: 347, mse: 0.0150, rmse: 0.1223, mae: 0.0962
Iter: 348, mse: 0.0181, rmse: 0.1346, mae: 0.1062
Iter: 349, mse: 0.0160, rmse: 0.1266, mae: 0.0979
Iter: 350, mse: 0.0143, rmse: 0.1195, mae: 0.0891
Iter: 351, mse: 0.0114, rmse: 0.1069, mae: 0.0820
Iter: 352, mse: 0.0061, rmse: 0.0780, mae: 0.0601
Iter: 353, mse: 0.0055, rmse: 0.0745, mae: 0.0610
Iter: 354, mse: 0.0067, rmse: 0.0820, mae: 0.0718
Iter: 355, mse: 0.0066, rmse: 0.0815, mae: 0.0732
Iter: 356, mse: 0.0054, rmse: 0.0737, mae: 0.0682
Iter: 357, mse: 0.0139, rmse: 0.1179, mae: 0.1027
Iter: 358, mse: 0.0049, rmse: 0.0702, mae: 0.0638
Iter: 359, mse: 0.0057, rmse: 0.0753, mae: 0.0690
Iter: 360, mse: 0.0039, rmse: 0.0626, mae: 0.0528
Iter: 361, mse: 0.0058, rmse: 0.0764, mae: 0.0642
Iter: 362, mse: 0.0069, rmse: 0.0833, mae: 0.0693
Iter: 363, mse: 0.0089, rmse: 0.0944, mae: 0.0799
Iter: 364, mse: 0.0082, rmse: 0.0906, mae: 0.0708
Iter: 365, mse: 0.0107, rmse: 0.1036, mae: 0.0818
Iter: 366, mse: 0.0114, rmse: 0.1070, mae: 0.0860
Iter: 367, mse: 0.0117, rmse: 0.1081, mae: 0.0905
Iter: 368, mse: 0.0147, rmse: 0.1214, mae: 0.0998
Iter: 369, mse: 0.0173, rmse: 0.1316, mae: 0.1114
Iter: 370, mse: 0.0180, rmse: 0.1343, mae: 0.1152
Iter: 371, mse: 0.0164, rmse: 0.1279, mae: 0.1108
Iter: 372, mse: 0.0193, rmse: 0.1391, mae: 0.1229
Iter: 373, mse: 0.0181, rmse: 0.1345, mae: 0.1201
Iter: 374, mse: 0.0140, rmse: 0.1184, mae: 0.1001
Iter: 375, mse: 0.0148, rmse: 0.1218, mae: 0.1036
Iter: 376, mse: 0.0166, rmse: 0.1288, mae: 0.1107
Iter: 377, mse: 0.0160, rmse: 0.1265, mae: 0.1095
Iter: 378, mse: 0.0143, rmse: 0.1198, mae: 0.1063
Iter: 379, mse: 0.0154, rmse: 0.1239, mae: 0.1082
Iter: 380, mse: 0.0155, rmse: 0.1246, mae: 0.1084
Iter: 381, mse: 0.0137, rmse: 0.1172, mae: 0.1006
Iter: 382, mse: 0.0130, rmse: 0.1138, mae: 0.0978
Iter: 383, mse: 0.0146, rmse: 0.1207, mae: 0.1055
Iter: 384, mse: 0.0163, rmse: 0.1276, mae: 0.1139
Iter: 385, mse: 0.0163, rmse: 0.1278, mae: 0.1161
Iter: 386, mse: 0.0138, rmse: 0.1173, mae: 0.1073
Iter: 387, mse: 0.0101, rmse: 0.1003, mae: 0.0883
Iter: 388, mse: 0.0083, rmse: 0.0909, mae: 0.0780
Iter: 389, mse: 0.0092, rmse: 0.0960, mae: 0.0839
Iter: 390, mse: 0.0084, rmse: 0.0914, mae: 0.0795
